model,bucket,dow,revenue,nv_cost
lgbm_pto,19:00-23:59,3,371159.7814171803,675440.9524048568
dfl,19:00-23:59,3,293477.1553864103,830238.6341385226
empirical,19:00-23:59,4,379316.48015473585,718366.941372471
glm_pto,19:00-23:59,4,376274.4869917136,720098.5381632113
lgbm_pto,19:00-23:59,4,376568.36775116774,725145.4080237611
dfl,19:00-23:59,4,309037.1166956687,859237.7115675592
empirical,19:00-23:59,5,382395.3783803309,768730.2250402496
glm_pto,19:00-23:59,5,378171.1126813285,773053.6558701276
lgbm_pto,19:00-23:59,5,367068.08085463324,802268.4905288522
dfl,19:00-23:59,5,287946.0591586322,944487.8683561471
empirical,19:00-23:59,6,380888.29139117623,754250.5359091501
glm_pto,19:00-23:59,6,375163.59550646495,764728.074852247
lgbm_pto,19:00-23:59,6,370439.21876696486,778880.2222485446
dfl,19:00-23:59,6,286760.4303692384,934021.6538892688
empirical,19:00-23:59,7,385695.5774872997,367381.2899957002
glm_pto,19:00-23:59,7,369775.14257760614,386482.09231704066
lgbm_pto,19:00-23:59,7,382676.97021632973,375088.99131235003
dfl,19:00-23:59,7,259798.9530959828,612672.7319610055
