slot,F_star,direction,shadow_price,breakeven_rental,nv_cost_A,nv_cost_B,nv_cost_C,fleet_adj_cost_C,total_cost_A,total_cost_B,total_cost_C
dow1_0600_0859_allwks,8185.886203378575,optimal:contract,19.999999999987693,0.0,43727.6589729508,45657.725446832,144717.15649689105,-96282.27593242849,43727.6589729508,45657.725446832,48434.88056446257
dow5_1900_2359_allwks,13000.0,optimal:stay,25.310780704873103,25.310780704873103,667435.8921574154,667397.8675359858,667397.8675359858,0.0,667435.8921574154,667397.8675359858,667397.8675359858
dow6_0900_1559_allwks,13000.0,optimal:stay,28.30720619726314,28.30720619726314,765356.3291077542,765196.2222881322,765196.2222881322,0.0,765356.3291077542,765196.2222881322,765196.2222881322
