model,mean_nv_cost,total_nv_cost,mean_fill_rate,mean_pinball,mean_spo_regret,mean_fleet_util,n_scenarios,rank
empirical,369468.4830515544,12931396.906804405,0.5541379011323837,26.322434651124315,369468.4830515544,0.9368351648351648,35,1
lgbm_pto,383747.2830262324,13431154.905918134,0.5444797916562512,27.28690177495892,383747.2830262324,0.9407758241758243,35,2
glm_pto,402045.9490564328,14071608.216975149,0.5303341623269067,28.33514621488338,402045.9490564328,0.9388461538461538,35,3
dfl,561423.2483637243,19649813.692730352,0.38833536986744505,38.66625425465944,561423.2483637243,0.9448967032967033,35,4
