trip_type,month,demand
yellow,1,68312
yellow,2,69471
yellow,3,80890
yellow,4,77611
yellow,5,87485
yellow,6,83249
yellow,7,75115
yellow,8,68117
yellow,9,82181
yellow,10,84405
yellow,11,78095
yellow,12,87956
fhv,1,83505
fhv,2,79013
fhv,3,84572
fhv,4,81099
fhv,5,86008
fhv,6,81290
fhv,7,80701
fhv,8,79264
fhv,9,79773
fhv,10,87661
fhv,11,85519
fhv,12,90652
