week,demand
1,35787
2,33835
3,35822
4,35907
5,36396
6,36841
7,38180
8,36457
9,37469
10,37877
11,37792
12,36876
13,36552
14,37497
15,38006
16,34724
17,38018
18,38542
19,40271
20,41049
21,36780
22,37053
23,39083
24,38673
25,37829
26,39122
27,31419
28,34944
29,37244
30,35818
31,36338
32,32932
33,34267
34,32364
35,32480
36,36270
37,39393
38,39075
39,37280
40,37105
41,39525
42,39298
43,38381
44,40327
45,38327
46,39044
47,40374
48,33235
49,43762
50,46830
51,43459
52,30015
