trip_type,time_bucket,demand
yellow,00:00-05:59,83681
yellow,06:00-08:59,77649
yellow,09:00-15:59,331525
yellow,16:00-18:59,187933
yellow,19:00-23:59,262099
fhv,00:00-05:59,126518
fhv,06:00-08:59,121191
fhv,09:00-15:59,322267
fhv,16:00-18:59,167108
fhv,19:00-23:59,261973
